id,K1,K2,K3,K4,K5
71_2,0.99996,0.00001,0.00001,0.00001,0.00001
71_4,0.99996,0.00001,0.00001,0.00001,0.00001
71_3,0.97327,0.00001,0.00001,0.00001,0.02670
70_1,0.97683,0.00001,0.00001,0.00001,0.02314
70_2,0.99900,0.00001,0.00001,0.00001,0.00097
70_5,0.97832,0.00001,0.00001,0.00001,0.02166
70_3,0.99996,0.00001,0.00001,0.00001,0.00001
7_3,0.97003,0.00001,0.00001,0.00001,0.02994
7_1,0.99849,0.00001,0.00001,0.00001,0.00148
7_2,0.98737,0.00001,0.00001,0.00001,0.01260
7_4,0.98089,0.00001,0.00001,0.00001,0.01908
69_1,0.98293,0.00272,0.00001,0.00001,0.01433
69_2,0.98767,0.00001,0.00001,0.00001,0.01230
69_3,0.99976,0.00001,0.00001,0.00001,0.00021
68_2,0.99473,0.00001,0.00001,0.00001,0.00524
68_1,0.99996,0.00001,0.00001,0.00001,0.00001
67_1,0.99996,0.00001,0.00001,0.00001,0.00001
67_2,0.98742,0.00250,0.00001,0.00001,0.01005
67_3,0.99785,0.00001,0.00001,0.00001,0.00212
66_1,0.99988,0.00001,0.00001,0.00001,0.00009
66_2,0.99996,0.00001,0.00001,0.00001,0.00001
66_3,0.99701,0.00001,0.00001,0.00001,0.00296
65_1,0.90948,0.00001,0.01183,0.00001,0.07867
65_2,0.99996,0.00001,0.00001,0.00001,0.00001
65_3,0.99214,0.00001,0.00783,0.00001,0.00001
64_1,0.99996,0.00001,0.00001,0.00001,0.00001
64_2,0.99996,0.00001,0.00001,0.00001,0.00001
64_3,0.99616,0.00001,0.00001,0.00001,0.00380
63_1,0.99996,0.00001,0.00001,0.00001,0.00001
62_2,0.99021,0.00001,0.00001,0.00001,0.00976
62_4,0.99996,0.00001,0.00001,0.00001,0.00001
62_3,0.99996,0.00001,0.00001,0.00001,0.00001
61_1,0.95000,0.00001,0.00001,0.00001,0.04997
61_2,0.91058,0.00001,0.00001,0.00001,0.08939
61_4,0.90858,0.00001,0.00001,0.00001,0.09140
61_3,0.87725,0.00001,0.00002,0.00001,0.12271
60_1,0.95226,0.00001,0.00001,0.00001,0.04771
60_2,0.83357,0.00001,0.00001,0.00001,0.16640
60_3,0.83844,0.00001,0.00001,0.00001,0.16153
